85 2 2 28/11/2019 Rusia 81 15 21
72 2 3 28/11/2019 China 61 15 20
93 4 4 26/11/2019 Portugal 74 13 22
94 1 1 26/11/2019 Alemania 52 13 20
78 2 3 26/11/2019 Francia 61 16 22
18 1 4 26/11/2019 China 96 13 23
62 2 1 26/11/2019 China 89 16 21
25 1 4 28/11/2019 Colombia 65 16 21
3 3 3 28/11/2019 Francia 87 14 23
96 2 2 27/11/2019 Portugal 84 15 20
100 2 2 28/11/2019 Chile 73 15 21
52 2 3 28/11/2019 Chile 50 15 21
91 3 3 27/11/2019 Rusia 92 14 21
29 3 2 27/11/2019 Irlanda 54 14 20
9 2 5 26/11/2019 Colombia 76 14 23
23 1 3 28/11/2019 Uruguay 72 17 22
76 5 5 28/11/2019 Honduras 89 15 21
88 2 3 26/11/2019 Uruguay 59 13 19
42 2 1 28/11/2019 Irlanda 65 13 21
27 4 5 26/11/2019 Alemania 82 16 23
97 3 1 26/11/2019 Italia 52 15 22
43 2 1 28/11/2019 Alemania 81 16 23
70 4 1 27/11/2019 China 94 14 21
54 1 5 28/11/2019 Irlanda 81 13 22
53 1 4 27/11/2019 Francia 90 16 22
55 3 3 26/11/2019 Italia 95 13 23
84 4 1 26/11/2019 Alemania 88 15 23
21 2 3 28/11/2019 Irlanda 55 15 23
12 3 2 26/11/2019 Colombia 62 16 21
63 4 1 28/11/2019 Alemania 98 15 21
49 3 3 28/11/2019 Portugal 63 16 21
51 1 4 28/11/2019 Francia 79 15 20
36 1 1 27/11/2019 Colombia 74 16 23
41 2 4 26/11/2019 China 89 14 21
71 2 4 28/11/2019 Francia 72 14 19
39 3 4 27/11/2019 Honduras 92 17 23
38 3 1 27/11/2019 Alemania 93 15 20
98 4 5 27/11/2019 Rusia 85 16 23
75 4 4 26/11/2019 Colombia 50 15 21
19 1 5 26/11/2019 Alemania 99 14 22
32 5 4 28/11/2019 Honduras 99 14 19
68 2 4 26/11/2019 Italia 95 13 21
47 3 4 27/11/2019 Uruguay 77 14 21
79 3 2 27/11/2019 Honduras 62 15 23
24 2 4 28/11/2019 Venezuela 92 16 21
30 5 5 26/11/2019 Chile 68 14 20
8 2 3 28/11/2019 Honduras 91 13 21
10 3 2 28/11/2019 Uruguay 64 16 21
13 2 2 28/11/2019 Alemania 84 15 23
7 2 1 27/11/2019 Venezuela 98 13 19
31 2 3 27/11/2019 Colombia 93 13 19
64 1 4 26/11/2019 Uruguay 52 13 19
44 5 4 26/11/2019 Rusia 100 13 21
77 2 4 27/11/2019 Colombia 73 17 22
6 2 2 27/11/2019 Alemania 79 13 19
83 3 2 27/11/2019 Honduras 82 13 20
40 2 4 26/11/2019 Chile 53 14 19
5 5 3 27/11/2019 Portugal 55 14 19
90 1 4 27/11/2019 Chile 94 14 22
87 2 1 27/11/2019 Alemania 94 15 22
34 4 4 27/11/2019 Irlanda 74 16 22
48 2 2 28/11/2019 Uruguay 51 14 19
74 4 4 26/11/2019 Uruguay 84 14 23
16 5 1 28/11/2019 Uruguay 57 13 18
57 5 2 26/11/2019 Colombia 50 14 23
